id,level,scope,skippable,description
automated_doc_generation,2,repo,false,"Automated documentation generation – Tools/workflows that create/update docs. Examples: API doc generators (Swagger/OpenAPI), code comment extractors (JSDoc, Sphinx), architecture diagram generators, droid exec creating docs, changelog generators, or README updaters. Must show evidence of automated "
skills,3,repo,false,"Skills configured – Check for skills directories (common locations: `.factory/skills/`, `.skills/`, `.claude/skills/`, walk up to git root). Each skill should be in `{skill-name}/SKILL.md` format with either YAML frontmatter containing at minimum `name` and `description`, or table format (`| name | "
documentation_freshness,3,repo,false,"Documentation freshness – Run `git log --since='180 days ago' --name-only -- README.md AGENTS.md CONTRIBUTING.md | grep -E '\.(md)$' | head -1`. PASS if at least one of README.md, AGENTS.md, or CONTRIBUTING.md was modified in the last 180 days. This is a simple binary check: key docs updated recentl"
service_flow_documented,3,repo,false,"Service architecture documented – Check for: 1) Architecture diagram files (*.mermaid, *.puml, *.plantuml, docs/architecture*, docs/diagrams*). 2) Service dependency documentation showing external services, APIs, or databases the application calls. 3) Images in README/docs with names containing 'arc"
agents_md_validation,4,repo,false,"AGENTS.md validation – Check for automation that validates AGENTS.md stays consistent with code. Look for: 1) CI job that checks AGENTS.md commands still work. 2) Automated AGENTS.md generation/update (droid that updates it). 3) Pre-commit hook validating AGENTS.md commands. 4) Documentation testing"
devcontainer,2,repo,false,"Dev container configured – .devcontainer/devcontainer.json with Node.js & TS extensions (TS) or Python image with pip/poetry (Py)"
env_template,1,repo,false,"Environment template – .env.example file exists or environment variables are documented in README/AGENTS.md. Without knowing required env vars, agents cannot run the application locally. Absolute blocker."
local_services_setup,2,repo,true,"Local services setup – docker-compose.yml for local dependencies (Postgres, Redis, etc.) or clear documentation on how to run them. Agents need these services to run integration tests and develop features. Skip for apps without external service dependencies."
devcontainer_runnable,3,repo,true,"Devcontainer runnable – The devcontainer can be built and run successfully using the devcontainer CLI or VS Code. Validates that the containerized development environment actually works, not just that config files exist. Skip if devcontainer CLI is not installed."
runbooks_documented,2,repo,false,"Runbooks documented – Look for external pointers to runbooks/playbooks (links to Notion, Confluence, internal wiki, or dedicated runbooks/ directory). Check README, AGENTS.md, or docs/ for references to incident response procedures. PASS if any documentation points to runbooks, even if hosted extern"
branch_protection,2,repo,true,"Branch protection rules enforced – If `gh` or `glab` CLI is available and authenticated, first check admin access: GitHub: `gh api repos/{owner}/{repo} --jq '.permissions.admin'`, GitLab: `glab api projects/{id} --jq '.permissions.project_access.access_level'` (need >= 40). If no admin/maintainer ac"
secret_scanning,3,repo,true,"Secret scanning configured – Repository scans for committed secrets. If `gh` or `glab` CLI is available and authenticated, first check admin access: GitHub: `gh api repos/{owner}/{repo} --jq '.permissions.admin'`, GitLab: `glab api projects/{id} --jq '.permissions.project_access.access_level'` (need"
codeowners,2,repo,false,"CODEOWNERS file exists – in root or .github/ directory with valid team assignments"
automated_security_review,2,repo,true,"Automated security review generation – System automatically generates security review reports or assessments. If `gh` or `glab` CLI is available and authenticated, first check admin access: GitHub: `gh api repos/{owner}/{repo} --jq '.permissions.admin'`, GitLab: `glab api projects/{id} --jq '.permis"
dependency_update_automation,2,repo,false,"Dependency update automation – Dependabot, Renovate, or similar is configured and creating PRs for dependency updates. Keeps dependencies current automatically, reducing security vulnerability window."
gitignore_comprehensive,1,repo,false,"Gitignore comprehensive – .gitignore properly excludes .env files (not .env.example), node_modules, build artifacts, IDE configs (.idea, .vscode), and OS files (.DS_Store). Prevents agents from accidentally committing secrets or generated files."
privacy_compliance,4,repo,true,"Privacy compliance – Check for privacy compliance infrastructure. Look for: 1) Consent management SDK/library (OneTrust, Cookiebot, custom consent banner). 2) Data retention policies documented. 3) GDPR/CCPA request handling code or documentation (data export, deletion endpoints). 4) Privacy-by-desi"
secrets_management,2,repo,false,"Secrets management – Check for secure secrets management infrastructure. Look for: 1) Cloud secrets manager integration (AWS Secrets Manager, GCP Secret Manager, Azure Key Vault, HashiCorp Vault) in code or config. 2) Environment variable documentation pointing to secrets manager. 3) GitHub Actions "
min_release_age,3,repo,false,"Minimum dependency release age – Check for policies or tooling that enforce a minimum waiting period before adopting new dependency releases. Look for: 1) Renovate configured with `minimumReleaseAge` or `stabilityDays` (or an equivalent delay gate). 2) A documented dependency-update policy that expl"
issue_templates,2,repo,false,"Issue templates – .github/ISSUE_TEMPLATE/ (GitHub) or .gitlab/issue_templates/ (GitLab) directory exists with structured templates for bugs, features, etc. Teaches agents what information to provide when creating issues."
issue_labeling_system,2,repo,false,"Issue labeling system – Consistent labels exist for priority (P0-P3 or critical/high/medium/low), type (bug, feature, chore), and area (frontend, backend, infra). Enables agents to filter and prioritize work programmatically."
backlog_health,4,repo,true,"Backlog health – Issues have clear titles and recent activity. If `gh` or `glab` CLI is available and authenticated, run `gh issue list --state open --limit 50 --json title,createdAt,labels`. Count issues with: 1) titles > 10 characters, 2) at least one label. PASS if >70% of open issues have both a"
pr_templates,2,repo,false,"PR templates – .github/pull_request_template.md (GitHub) or merge request templates (GitLab) exist with sections for description, testing done, and relevant context. Ensures agent PRs include necessary information for reviewers."
lint_config,1,app,false,"Linter configured – Project has a linter configured to catch code quality issues. Common examples: ESLint (.eslintrc.*, eslint.config.*) for TS/JS, ruff/flake8 (pyproject.toml, .flake8, ruff.toml) for Python, SonarQube/SonarCloud (sonar-project.properties, .sonarcloud.properties, or 'sonar' in CI wo"
type_check,1,app,false,"Type checker – tsconfig.json with 'strict': true for TS, mypy.ini or [tool.mypy] in pyproject.toml for Py."
formatter,1,app,false,"Formatter – Prettier (.prettierrc*) for TS, Black ([tool.black] in pyproject.toml) for Py."
pre_commit_hooks,2,app,false,"Pre-commit hooks – Husky/lint-staged for TS, .pre-commit-config.yaml with ruff/black for Py."
strict_typing,2,app,true,"Strict typing enabled – Project uses strict type checking. Common approaches: TypeScript tsconfig.json with 'strict': true, Python mypy strict mode in mypy.ini or pyproject.toml, SonarQube/SonarCloud for TypeScript (has type-related rules that complement strict mode; verify it is not explicitly disa"
naming_consistency,3,app,false,"Naming consistency – Consistent naming conventions are enforced. Common approaches: ESLint @typescript-eslint/naming-convention rule, pylint naming-style rules, explicit naming conventions documented in AGENTS.md or CONTRIBUTING.md (e.g., 'use camelCase for functions'), SonarQube/SonarCloud (has nam"
cyclomatic_complexity,5,app,false,"Cyclomatic complexity – Code complexity is analyzed and monitored. Common tools: ESLint complexity rule, lizard or radon for Python, gocyclo or go-critic for Go, SonarQube/SonarCloud (has built-in cognitive/cyclomatic complexity analysis enabled by default; verify it is not explicitly disabled in so"
dead_code_detection,3,app,false,"Dead code detection – Tooling detects unused/dead code. PASS if ANY ONE of the following exists: 1) JS/TS: knip, unimported, or ESLint import/no-unused-modules. 2) Python: vulture or dead. 3) Go: deadcode or staticcheck. 4) Rust: cargo-udeps. 5) Java: SpotBugs or PMD with unused code rules. 6) Sonar"
duplicate_code_detection,3,app,false,"Duplicate code detection – Tooling detects copy-paste or duplicate code to enforce DRY (Don't Repeat Yourself) principles. Common tools: jscpd (in CI or pre-commit), PMD CPD for Java, SonarQube/SonarCloud (has built-in CPD enabled by default; verify it is not explicitly disabled in sonar properties)"
code_modularization,4,app,true,"Code modularization – Check for tooling that enforces code modularization and boundaries. Skip for small projects where module boundaries are not meaningful, or Rust codebases (compiler enforces visibility). PASS if ANY ONE of the following exists: 1) JS/TS: eslint-plugin-boundaries, eslint-plugin-i"
n_plus_one_detection,4,app,true,"N+1 query detection – Check for N+1 query detection tooling. Look for: 1) bullet gem for Rails. 2) nplusone for Python/Django. 3) DataLoader pattern usage (graphql-dataloader). 4) ORM query logging with analysis. 5) Database query analysis in tests. 6) APM with slow query detection configured. PASS "
heavy_dependency_detection,4,app,true,"Heavy dependency detection – Check for bundle size analysis and heavy dependency detection. Look for: 1) Bundle analyzer configured (webpack-bundle-analyzer, @next/bundle-analyzer, rollup-plugin-visualizer). 2) Size limit tools (size-limit, bundlesize, bundlewatch). 3) Import cost IDE extension conf"
unused_dependencies_detection,3,app,false,"Unused dependencies detection – Check for tooling that detects unused dependencies in any language. PASS if ANY ONE of the following exists: 1) JS/TS: depcheck, npm-check, or knip configured. 2) Python: deptry or pip-extra-reqs. 3) Go: `go mod tidy` in CI (ensures go.mod only has used deps). 4) Rust"
unit_tests_exist,1,app,false,"Unit tests present – *.test.ts / __tests__/ (TS) or tests/test_*.py (Py)."
integration_tests_exist,3,app,false,"Integration tests present – cypress/, playwright.config.ts (TS) or tests/integration/, Behave .feature files (Py)."
unit_tests_runnable,2,app,false,"Tests runnable locally – 'test': 'vitest' (or Vitest) script in package.json (TS) or pytest runnable via tox/make test (Py). Actually run the command you find to see if the tests really are runnable (do not worry about whether they pass, just if they can be run). Use flags like --listTests (vitest) "
test_performance_tracking,4,app,false,"Test performance tracking – Test suite duration is measured and tracked. Check: 1) CI outputs that show test timing (e.g., vitest --verbose, pytest --durations). 2) Test reports uploaded as artifacts. 3) Integration with test analytics platforms (BuildPulse, Datadog CI, GitHub Actions test reporting"
flaky_test_detection,4,app,true,"Flaky test detection – Check for proactive flaky test management. If `gh` or `glab` CLI is available and authenticated, run `gh pr list --state all --limit 10 --json statusCheckRollup` to detect duplicate check names (indicates retries/flakiness). Also check for: 1) Test retry configuration (vitest-"
test_coverage_thresholds,2,app,false,"Test coverage thresholds – Minimum coverage percentages are enforced. Common approaches: vi.config.js coverageThreshold, pytest --cov-fail-under, Codecov/Coveralls with PR status checks blocking on coverage, SonarQube/SonarCloud quality gate with coverage threshold (sonar.coverage.* settings or sona"
test_naming_conventions,3,app,false,"Test naming conventions – Check for consistent test file naming enforcement in any language. PASS if ANY ONE of the following exists: 1) JS/TS: Vitest testMatch/testRegex, Vitest include patterns, or Mocha test directory config. 2) Python: pytest naming conventions in pytest.ini or pyproject.toml (t"
test_isolation,4,app,false,"Test isolation – Check for test isolation enforcement in any language. PASS if ANY ONE of the following exists: 1) JS/TS: Vitest parallelization (not --runInBand), Vitest threads, or test sharding configured. 2) Python: pytest-xdist for parallel execution. 3) Go: `go test -parallel` or `t.Parallel()"
interactive_qa_exists,2,app,false,"Interactive QA documented – A concrete, agent-followable path to bring the application to an interactive state and exercise it end-to-end must be documented, regardless of app type (web/browser UI, TUI/CLI, backend/API server, mobile app, desktop app, batch/worker). This criterion is documentation-o"
interactive_qa_runnable,3,app,false,"Interactive QA runnable – Building on the documented QA path (see interactive_qa_exists), an agent must be able to ACTUALLY run the application and interactively exercise it end-to-end, regardless of app type (web/browser UI, TUI/CLI, backend/API server, mobile app, desktop app, batch/worker). Step "
api_schema_docs,3,app,true,"API schema docs – OpenAPI/Swagger specification or GraphQL schema exists for service APIs. Search recursively for files matching patterns: **/openapi.{json,yaml,yml}, **/swagger.{json,yaml,yml}, **/*.openapi.{json,yaml}, **/*.swagger.{json,yaml}, **/schema.graphql, **/*.graphql, **/*.gql. PASS if an"
database_schema,2,app,true,"Database schema – Schema definition files exist for databases (Prisma schema, TypeORM entities, SQLAlchemy models, raw SQL schemas). Agents need to understand the data model to make correct changes. Skip for apps without databases."
structured_logging,2,app,false,"Structured logging – Check for logging library in dependencies: TS/JS (winston, pino, bunyan, log4js in package.json), Python (structlog, loguru, python-json-logger in requirements/pyproject.toml), or custom logger module (src/logger.*, lib/logging.*). PASS if any logging library is installed OR a d"
distributed_tracing,3,app,false,"Check for trace ID or request ID propagation through the application (OpenTelemetry, X-Request-ID headers, etc.) that allows following a request through the system."
metrics_collection,3,app,false,"Check for metrics/telemetry instrumentation (Datadog, Axiom, Prometheus, New Relic, CloudWatch, etc.) for understanding application performance."
code_quality_metrics,4,app,true,"Code quality metrics tracked – Coverage, complexity, and maintainability metrics are monitored. If `gh` or `glab` CLI is available and authenticated, first check admin access: GitHub: `gh api repos/{owner}/{repo} --jq '.permissions.admin'`, GitLab: `glab api projects/{id} --jq '.permissions.project_"
error_tracking_contextualized,2,app,false,"Error tracking contextualized – Sentry, Bugsnag, or Rollbar is configured with source maps, breadcrumbs, and user context. Agents can trace production errors back to specific code paths with full stack traces."
alerting_configured,3,app,false,"Alerting configured – PagerDuty, OpsGenie, or custom alerting rules are defined. The system actively notifies when things go wrong rather than waiting for someone to notice. Prerequisite for incident response."
deployment_observability,4,app,false,"Deployment observability – Look for pointers to monitoring dashboards (Datadog, Grafana, New Relic links in docs or code comments). Check for deploy notification integrations (Slack webhooks, deployment annotations in monitoring). PASS if documentation references where to check deploy impact, even i"
health_checks,3,app,true,"Health checks – Check for health check endpoints and liveness/readiness probes. Look for: 1) `/health`, `/healthz`, `/ready`, `/live` endpoints in routes. 2) Kubernetes liveness/readiness probes in deployment manifests. 3) Health check libraries (terminus, lightship for Node.js, django-health-check)"
circuit_breakers,4,app,true,"Circuit breakers – Check for circuit breaker pattern implementation. Look for: 1) Circuit breaker libraries (opossum, cockatiel for Node.js, resilience4j for Java, polly for .NET, tenacity for Python). 2) Service mesh with circuit breaking (Istio, Linkerd configuration). 3) Custom circuit breaker im"
profiling_instrumentation,4,app,true,"Profiling instrumentation – Check for performance profiling infrastructure. Look for: 1) APM tools (Datadog APM, New Relic, Dynatrace) in dependencies or config. 2) Continuous profiling (Pyroscope, Parca, Google Cloud Profiler). 3) Node.js profiling (clinic.js, 0x configured). 4) Memory profiling se"
dast_scanning,4,app,true,"DAST scanning – Check for Dynamic Application Security Testing (DAST) in CI/CD. Look for: 1) OWASP ZAP configured in CI workflows (zap-scan action, zap-baseline). 2) Burp Suite Enterprise or Burp CI integration. 3) Nuclei scanner configured. 4) Other DAST tools (Acunetix, Netsparker, StackHawk). 5) "
pii_handling,3,app,true,"PII handling – Check for PII detection and handling tooling. Look for: 1) Data classification tools (Microsoft Presidio, AWS Macie integration, Google DLP). 2) PII detection in CI (detect-secrets with PII patterns, custom regex scanners). 3) Data masking libraries in dependencies (faker for test dat"
log_scrubbing,3,app,false,"Log scrubbing – Check for log sanitization/scrubbing mechanisms. Look for: 1) Logging library with redaction support configured (pino redact, winston format with filtering, structlog processors). 2) Custom log sanitization middleware or utilities (grep for 'redact', 'sanitize', 'mask' in logging cod"
product_analytics_instrumentation,3,app,false,"Product analytics instrumentation – Mixpanel, Amplitude, PostHog, Heap, or GA4 is instrumented in the application. Agents can see whether features are actually used and measure the impact of their changes on user behavior."
actionable,?,?,?,"(not parsed)"
